epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5958595871925354,1.0845125913619995,0.001,0.6370967626571655,0.9572863578796387
1,0.6795679330825806,0.9121426343917847,0.001,0.6451612710952759,0.9042002558708191
2,0.692169189453125,0.8415888547897339,0.001,0.6532257795333862,0.9903401136398315
3,0.7110711336135864,0.7793459296226501,0.001,0.6532257795333862,0.9433761239051819
4,0.7479748129844666,0.7111817598342896,0.001,0.6451612710952759,1.0965783596038818
5,0.76597660779953,0.6286596655845642,0.001,0.6693548560142517,0.9107363820075989
6,0.7974797487258911,0.5450684428215027,0.001,0.6612903475761414,0.9701621532440186
7,0.8244824409484863,0.49426913261413574,0.001,0.6693548560142517,1.0266094207763672
8,0.8577857613563538,0.4386877417564392,0.001,0.6532257795333862,1.176399827003479
9,0.8793879151344299,0.3603368401527405,0.001,0.6048387289047241,1.319746732711792
10,0.9090909361839294,0.2893051207065582,0.001,0.6451612710952759,1.5866154432296753
11,0.9189919233322144,0.2468102127313614,0.001,0.5967742204666138,1.242436408996582
12,0.9099910259246826,0.33778682351112366,0.001,0.6290322542190552,2.4126358032226562
13,0.9342934489250183,0.24619653820991516,0.001,0.6129032373428345,2.1505796909332275
14,0.9567956924438477,0.1524808704853058,0.001,0.6693548560142517,2.3797190189361572
15,0.9729973077774048,0.11673877388238907,0.001,0.6370967626571655,2.1305668354034424
16,0.9675967693328857,0.12970507144927979,0.001,0.6370967626571655,2.303964376449585
17,0.9729973077774048,0.10637029260396957,0.001,0.6854838728904724,2.833606243133545
18,0.973897397518158,0.12613146007061005,0.001,0.6209677457809448,1.7466492652893066
19,0.979297935962677,0.1037210002541542,0.001,0.6451612710952759,2.1276988983154297
20,0.9765976667404175,0.08988625556230545,0.001,0.6290322542190552,1.6999396085739136
21,0.9810981154441833,0.10220783948898315,0.001,0.6612903475761414,1.9554550647735596
22,0.9864986538887024,0.07428864389657974,0.001,0.6935483813285828,2.969557046890259
23,0.9954995512962341,0.047937847673892975,0.001,0.6612903475761414,2.264890670776367
24,0.9837983846664429,0.09665025025606155,0.001,0.6451612710952759,1.5231943130493164
25,0.9657965898513794,0.15009291470050812,0.001,0.6209677457809448,1.634612798690796
26,0.9747974872589111,0.11066365987062454,0.001,0.6451612710952759,2.8341867923736572
27,0.9864986538887024,0.06386002898216248,0.001,0.6129032373428345,3.4710843563079834
28,0.9918991923332214,0.03785058856010437,0.001,0.6290322542190552,3.286836862564087
29,0.9909991025924683,0.04220970720052719,0.001,0.6370967626571655,2.9533090591430664
30,0.994599461555481,0.030970614403486252,0.001,0.5967742204666138,2.9729726314544678
31,0.9963996410369873,0.027050137519836426,0.001,0.6048387289047241,2.735647678375244
